iter	MAE
0	5077.446987
1	5075.645338
2	5073.886682
3	5072.132088
4	5070.37035
5	5068.631762
6	5066.869645
7	5065.106407
8	5063.369246
9	5061.598135
10	5059.855202
11	5058.110998
12	5056.346692
13	5054.598976
14	5052.84785
15	5051.083668
16	5049.331731
17	5047.583096
18	5045.83977
19	5044.082455
20	5042.346074
21	5040.580917
22	5038.832555
23	5037.073098
24	5035.320281
25	5033.561001
26	5031.813685
27	5030.056709
28	5028.298851
29	5026.547573
30	5024.799548
31	5023.041843
32	5021.292144
33	5019.536654
34	5017.794979
35	5016.03111
36	5014.280535
37	5012.524139
38	5010.769451
39	5009.022143
40	5007.265446
41	5005.505864
42	5003.753263
43	5002.00186
44	5000.264952
45	4998.497786
46	4996.743212
47	4994.98498
48	4993.235743
49	4991.482365
50	4989.728821
51	4987.97156
52	4986.241311
53	4984.477059
54	4982.726959
55	4980.987983
56	4979.233974
57	4977.483624
58	4975.737636
59	4973.989862
60	4972.252173
61	4970.490926
62	4968.745283
63	4967.009663
64	4965.265077
65	4963.530587
66	4961.781878
67	4960.043738
68	4958.303778
69	4956.564442
70	4954.828076
71	4953.079478
72	4951.35534
73	4949.609852
74	4947.877536
75	4946.142686
76	4944.398337
77	4942.66386
78	4940.935258
79	4939.19546
80	4937.477471
81	4935.731135
82	4933.999558
83	4932.269807
84	4930.532935
85	4928.809224
86	4927.070243
87	4925.337435
88	4923.610015
89	4921.874077
90	4920.153763
91	4918.409177
92	4916.677679
93	4914.945704
94	4913.208049
95	4911.478817
96	4909.745732
97	4908.015866
98	4906.278041
99	4904.556598
100	4902.815413
101	4901.082745
102	4899.354813
103	4897.618993
104	4895.894936
105	4894.163703
106	4892.430394
107	4890.705124
108	4888.976353
109	4887.241449
110	4885.519207
111	4883.782818
112	4882.071353
113	4880.325842
114	4878.59056
115	4876.857859
116	4875.124459
117	4873.390125
118	4871.657957
119	4869.935783
120	4868.208093
121	4866.472871
122	4864.746837
123	4863.03062
124	4861.30378
125	4859.572235
126	4857.856002
127	4856.13357
128	4854.425106
129	4852.686066
130	4850.959487
131	4849.228887
132	4847.50047
133	4845.781818
134	4844.084082
135	4842.353264
136	4840.619622
137	4838.90731
138	4837.179351
139	4835.453844
140	4833.737807
141	4832.030084
142	4830.303163
143	4828.581022
144	4826.863743
145	4825.133332
146	4823.40894
147	4821.694273
148	4819.975673
149	4818.245126
150	4816.514167
151	4814.795006
152	4813.075369
153	4811.345128
154	4809.632075
155	4807.930982
156	4806.220156
157	4804.49816
158	4802.778234
159	4801.070975
160	4799.355826
161	4797.630984
162	4795.901822
163	4794.208381
164	4792.469796
165	4790.752748
166	4789.032854
167	4787.319562
168	4785.599087
169	4783.865061
170	4782.161039
171	4780.432665
172	4778.703401
173	4776.977358
174	4775.281342
175	4773.553993
176	4771.833078
177	4770.126954
178	4768.396067
179	4766.673275
180	4764.962306
181	4763.229763
182	4761.533214
183	4759.799002
184	4758.08148
185	4756.352273
186	4754.659508
187	4752.932582
188	4751.221609
189	4749.492388
190	4747.792799
191	4746.091365
192	4744.356909
193	4742.627773
194	4740.910212
195	4739.196346
196	4737.476478
197	4735.777133
198	4734.044797
199	4732.356446
200	4730.635127
201	4728.902081
202	4727.21592
203	4725.476042
204	4723.758016
205	4722.061615
206	4720.340991
207	4718.617631
208	4716.904967
209	4715.190676
210	4713.502898
211	4711.765683
212	4710.057541
213	4708.351436
214	4706.620021
215	4704.896245
216	4703.184227
217	4701.464461
218	4699.766284
219	4698.047301
220	4696.312003
221	4694.627193
222	4692.899123
223	4691.18887
224	4689.474188
225	4687.751998
226	4686.068687
227	4684.335355
228	4682.615514
229	4680.927598
230	4679.189201
231	4677.472435
232	4675.747411
233	4674.05323
234	4672.327406
235	4670.633689
236	4668.900626
237	4667.193805
238	4665.488109
239	4663.749018
240	4662.039602
241	4660.327969
242	4658.589857
243	4656.873501
244	4655.170912
245	4653.453559
246	4651.737288
247	4649.997698
248	4648.305278
249	4646.582895
250	4644.873493
251	4643.138783
252	4641.444876
253	4639.732214
254	4637.998825
255	4636.274906
256	4634.553726
