iter	Passed	Remaining
0	166	16681762
1	325	16277945
2	512	17074792
3	708	17713093
4	884	17693990
5	1050	17502711
6	1197	17110088
7	1334	16680948
8	1469	16323357
9	1658	16580323
10	1838	16712493
11	1993	16609531
12	2137	16441803
13	2286	16332348
14	2414	16096488
15	2622	16390046
16	2770	16295111
17	2926	16252718
18	3086	16243829
19	3269	16342679
20	3424	16306010
21	3685	16749792
22	3892	16919387
23	4090	17040248
24	4285	17137734
25	4463	17163910
26	4677	17318690
27	4828	17239213
28	4970	17133436
29	5083	16940818
30	5233	16876590
31	5356	16734663
32	5523	16731422
33	5670	16673494
34	5913	16890956
35	6080	16884087
36	6245	16873428
37	6423	16897479
38	6631	16998267
39	6798	16989928
40	6950	16945505
41	7082	16856043
42	7216	16776060
43	7366	16734667
44	7558	16788695
45	7732	16801073
46	7860	16717475
47	7995	16649104
48	8132	16589068
49	8266	16525600
50	8409	16480987
51	8554	16443325
52	8707	16419844
53	8844	16370333
54	8978	16314852
55	9134	16302479
56	9289	16287353
57	9429	16248096
58	9550	16177356
59	9730	16208272
60	9845	16130519
61	10008	16132824
62	10158	16113725
63	10297	16080105
64	10502	16147199
65	10665	16148882
66	10814	16130400
67	10933	16067550
68	11060	16018675
69	11211	16004874
70	11363	15993643
71	11535	16010182
72	11686	15997410
73	11823	15966504
74	11973	15952113
75	12068	15868133
76	12235	15877625
77	12396	15880674
78	12573	15903637
79	12734	15905011
80	12859	15862765
81	13010	15853950
82	13151	15832392
83	13259	15772090
84	13442	15801117
85	13572	15768754
86	13749	15789831
87	13888	15768724
88	14034	15755389
89	14185	15747676
90	14318	15720806
91	14488	15733840
92	14626	15712983
93	14767	15695373
94	14896	15666029
95	15018	15629681
96	15131	15584046
97	15294	15591545
98	15466	15607196
99	15615	15600257
100	15780	15608799
101	15911	15583268
102	16040	15557543
103	16188	15549401
104	16332	15538682
105	16492	15542702
106	16645	15540226
107	16801	15540529
108	16955	15538473
109	17076	15507451
110	17197	15476025
111	17371	15493301
112	17522	15489448
113	17641	15457499
114	17786	15448710
115	17926	15436220
116	18078	15433660
117	18266	15461426
118	18471	15503962
119	18604	15485114
120	18748	15475698
121	18891	15465572
122	19022	15446630
123	19158	15431645
124	19302	15422710
125	19457	15422652
126	19581	15398552
127	19712	15380705
128	19846	15365039
129	19944	15321794
130	20074	15303932
131	20267	15333759
132	20411	15326899
133	20560	15323218
134	20701	15313667
135	20815	15284354
136	20940	15264342
137	21087	15259825
138	21243	15261800
139	21399	15263609
140	21549	15262087
141	21702	15262011
142	21824	15240197
143	21952	15222788
144	22076	15203060
145	22216	15194516
146	22353	15184423
147	22501	15181411
148	22618	15157329
149	22747	15142262
150	22871	15123643
151	22979	15095049
152	23105	15078713
153	23228	15060017
154	23385	15063755
155	23534	15062851
156	23652	15041691
157	23800	15039930
158	23931	15027488
159	24070	15020263
160	24260	15044198
161	24437	15060147
162	24584	15058203
163	24722	15049816
164	24849	15035256
165	24973	15019429
166	25111	15011817
167	25253	15006694
168	25391	14999320
169	25530	14992187
170	25657	14978565
171	25792	14969557
172	25921	14957628
173	26054	14947952
174	26228	14961435
175	26359	14950846
176	26446	14914844
177	26538	14882765
178	26661	14868225
179	26783	14852985
180	26907	14839169
181	27031	14825402
182	27239	14857684
183	27390	14858550
184	27526	14851455
185	27648	14837122
186	27799	14838383
187	27984	14857513
188	28184	14884336
189	28362	14899509
190	28488	14887046
191	28638	14887210
192	28771	14878834
193	28905	14870931
194	29068	14878060
195	29220	14879334
196	29352	14870395
197	29469	14854233
198	29618	14854157
199	29747	14844204
200	29878	14835139
201	30050	14846513
202	30227	14860171
203	30358	14851259
204	30470	14833108
205	30606	14827046
206	30732	14815663
207	30857	14804277
208	31022	14812234
209	31208	14829780
210	31349	14826021
211	31494	14824314
212	31628	14817381
213	31771	14814628
214	31924	14816551
215	32105	14831524
216	32268	14837832
217	32403	14831411
218	32521	14817551
219	32642	14804865
220	32787	14803278
221	32906	14789896
222	33076	14799455
223	33250	14810889
224	33410	14815568
225	33544	14808955
226	33667	14797634
227	33761	14773797
228	33926	14781254
229	34085	14785854
230	34224	14781639
231	34353	14773394
232	34507	14775576
233	34614	14757806
234	34754	14754568
235	34887	14748128
236	35046	14752492
237	35251	14776166
238	35395	14774550
239	35554	14778735
240	35691	14773888
241	35817	14764659
242	35976	14768963
243	36142	14776439
244	36311	14784654
245	36435	14774567
246	36568	14768311
247	36721	14770479
248	36871	14771100
249	37033	14776294
250	37213	14789069
251	37330	14776504
252	37454	14766757
253	37577	14756786
254	37696	14745313
255	37809	14731380
256	37994	14745935
257	38151	14749275
258	38314	14754776
259	38446	14748715
260	38583	14744523
261	38725	14741956
262	38896	14750494
263	39033	14746358
264	39207	14756108
265	39311	14739569
266	39453	14737131
267	39593	14734010
268	39748	14736467
269	39917	14744287
270	40104	14758674
271	40245	14755816
272	40369	14746982
273	40486	14735645
274	40605	14725143
275	40731	14716950
276	40863	14711351
277	41040	14721624
278	41194	14723731
279	41320	14716147
280	41445	14707997
281	41578	14702580
282	41712	14697830
283	41893	14709357
284	42073	14720549
285	42230	14723792
286	42369	14720606
287	42488	14710416
288	42599	14697690
289	42754	14700276
290	42925	14708211
291	43090	14713789
292	43228	14710432
293	43379	14711634
294	43502	14703247
295	43636	14698266
296	43756	14689174
297	43940	14701119
298	44096	14703771
299	44245	14704352
300	44367	14695748
301	44471	14681246
302	44597	14674080
303	44714	14664158
304	44858	14662915
305	45021	14667730
306	45141	14659032
307	45273	14653944
308	45396	14645972
309	45519	14638235
310	45668	14638792
311	45828	14642908
312	46048	14666010
313	46215	14672204
314	46355	14669729
315	46510	14671985
316	46680	14679018
317	46865	14690602
318	47023	14693924
319	47172	14694148
320	47298	14687405
321	47453	14689644
322	47600	14689305
323	47769	14695980
324	47961	14709502
325	48079	14700308
326	48236	14703032
327	48359	14695508
328	48504	14694376
329	48714	14713160
330	48894	14722871
331	49038	14721647
332	49205	14727086
333	49373	14733015
334	49532	14736272
335	49722	14748745
336	49870	14748637
337	50010	14745865
338	50134	14738797
339	50255	14730848
340	50378	14723383
341	50512	14719349
342	50672	14722575
343	50828	14724861
344	50969	14722871
345	51096	14716722
346	51222	14710428
347	51363	14708156
348	51504	14706310
349	51666	14710183
350	51833	14715598
351	51983	14716153
352	52119	14712500
353	52250	14707745
354	52400	14708287
355	52532	14703689
356	52714	14713207
357	52884	14719240
358	53019	14715613
359	53155	14712146
360	53302	14711927
361	53441	14709525
362	53587	14708688
363	53741	14710390
364	53896	14712223
365	53997	14699501
366	54123	14693374
367	54255	14689183
368	54363	14678158
369	54515	14679438
370	54673	14682140
371	54804	14677574
372	54975	14683646
373	55126	14684457
374	55248	14677710
375	55350	14665646
376	55499	14665862
377	55668	14671333
378	55796	14666241
379	55914	14658361
380	56038	14652261
381	56161	14645674
382	56284	14639528
383	56403	14632032
384	56571	14637260
385	56728	14639666
386	56900	14646143
387	57047	14645845
388	57172	14640027
389	57326	14641820
