iter	MAE
0	5070.523253
1	5061.403175
2	5052.46242
3	5043.641862
4	5034.769449
5	5025.84485
6	5016.992551
7	5008.100986
8	4999.233474
9	4990.398685
10	4981.503501
11	4972.66675
12	4963.835502
13	4955.142821
14	4946.333269
15	4937.566976
16	4928.808107
17	4920.060117
18	4911.250727
19	4902.472101
20	4893.769926
21	4884.98884
22	4876.242175
23	4867.490184
24	4858.859791
25	4850.084177
26	4841.324035
27	4832.612895
28	4823.902059
29	4815.152811
30	4806.412046
31	4797.719499
32	4789.034304
33	4780.312548
34	4771.595103
35	4762.934099
36	4754.330864
37	4745.602934
38	4736.948662
39	4728.207838
40	4719.557499
41	4710.880223
42	4702.149022
43	4693.421147
44	4684.727079
45	4676.040005
46	4667.318866
47	4658.616205
48	4650.03075
49	4641.331129
50	4632.598177
51	4623.889024
52	4615.203142
53	4606.593359
54	4597.928002
55	4589.225211
56	4580.553078
57	4571.801008
58	4563.06068
59	4554.389662
60	4545.693938
61	4536.966209
62	4528.378786
63	4519.684309
64	4510.970667
65	4502.247432
66	4493.604715
67	4484.908116
68	4476.203041
69	4467.522766
70	4458.82711
71	4450.237622
72	4441.574817
73	4432.852822
74	4424.198987
75	4415.490095
76	4406.763228
77	4398.084069
78	4389.43316
79	4380.831009
80	4372.221477
81	4363.666753
82	4355.145038
83	4346.60104
84	4338.011853
85	4329.416259
86	4320.944103
87	4312.484322
88	4303.912901
89	4295.384795
90	4286.867993
91	4278.327293
92	4269.851708
93	4261.295643
94	4252.80066
95	4244.286838
96	4235.851986
97	4227.491545
98	4219.25114
99	4210.854911
100	4202.445438
101	4194.015101
102	4185.634434
103	4177.331388
104	4169.04145
105	4160.676081
106	4152.374931
107	4144.190794
108	4135.978901
109	4127.702542
110	4119.490078
111	4111.263509
112	4103.103409
113	4094.90342
114	4086.814641
115	4078.682061
116	4070.620679
117	4062.581365
118	4054.52693
119	4046.604774
120	4038.659808
121	4030.776645
122	4022.838786
123	4014.994114
124	4007.090122
125	3999.291957
126	3991.438237
127	3983.603164
128	3975.863509
129	3968.083668
130	3960.360309
131	3952.615301
132	3944.96428
133	3937.359631
134	3929.72269
135	3922.129144
136	3914.555136
137	3906.96757
138	3899.45457
139	3891.967814
140	3884.54186
141	3877.110313
142	3869.763823
143	3862.408368
144	3855.101842
145	3847.86555
146	3840.646728
147	3833.370808
148	3826.13058
149	3818.990719
150	3811.840242
151	3804.72397
152	3797.659261
153	3790.607446
154	3783.605581
155	3776.672962
156	3769.64925
157	3762.755722
158	3755.895269
159	3749.093268
160	3742.290843
161	3735.506868
162	3728.756403
163	3721.912656
164	3715.28121
165	3708.650865
166	3702.05511
167	3695.406108
168	3688.68004
169	3682.150203
170	3675.510556
171	3668.941739
172	3662.440903
173	3655.885896
174	3649.409035
175	3643.042123
176	3636.672672
177	3630.270301
178	3623.852291
179	3617.556866
180	3611.304829
181	3605.108769
182	3598.848257
183	3592.613942
184	3586.476774
185	3580.416072
186	3574.41713
187	3568.387272
188	3562.341846
189	3556.338242
190	3550.406107
191	3544.571738
192	3538.82736
193	3533.058359
194	3527.33366
195	3521.665601
196	3516.010934
197	3510.396524
198	3504.785044
199	3499.147229
200	3493.618666
201	3488.193332
202	3482.752515
203	3477.312433
204	3471.927976
205	3466.571481
206	3461.243561
207	3455.94636
208	3450.588386
209	3445.367675
210	3440.225424
211	3435.053964
212	3429.908529
213	3424.796517
214	3419.740896
215	3414.692348
216	3409.684955
217	3404.679558
218	3399.649652
219	3394.689288
220	3389.73385
221	3384.755907
222	3379.975943
223	3375.061296
224	3370.217051
225	3365.360557
226	3360.553147
227	3355.79307
228	3350.898693
229	3346.092488
230	3341.358863
231	3336.64758
232	3331.996832
233	3327.360523
234	3322.643604
235	3318.088656
236	3313.515091
237	3309.008984
238	3304.511248
239	3300.002608
240	3295.485171
241	3291.112583
242	3286.659443
243	3282.181239
244	3277.807635
245	3273.409649
246	3269.092347
247	3264.769898
248	3260.465724
249	3256.135113
250	3251.796103
251	3247.610217
252	3243.32024
253	3239.214496
254	3234.977651
255	3230.889288
256	3226.62228
257	3222.450994
258	3218.293259
259	3214.336567
260	3210.256537
261	3206.23372
262	3202.173636
263	3198.188902
264	3194.100739
265	3190.078847
266	3186.042275
267	3182.019377
268	3178.055884
269	3174.072205
270	3170.227556
271	3166.334148
272	3162.461787
273	3158.610041
274	3154.816411
275	3150.957411
276	3147.085085
277	3143.241069
278	3139.502438
279	3135.680546
280	3131.879295
281	3128.024251
282	3124.288988
283	3120.479283
284	3116.764906
285	3112.997688
286	3109.285737
287	3105.554571
288	3101.68522
289	3098.028028
290	3094.314069
291	3090.748117
292	3087.12256
293	3083.510841
294	3079.934155
295	3076.322425
296	3072.868587
297	3069.235071
298	3065.671511
299	3062.240079
300	3058.696873
301	3055.016717
302	3051.455986
303	3047.996029
304	3044.478589
305	3041.117139
306	3037.608846
307	3034.174788
308	3030.611777
309	3027.174584
310	3023.761286
311	3020.361953
312	3017.015581
313	3013.722542
314	3010.223964
315	3006.922084
316	3003.681157
317	3000.364555
318	2997.014463
319	2993.719768
320	2990.493292
321	2987.323621
322	2984.074775
323	2980.845756
324	2977.548316
325	2974.323574
326	2971.130679
327	2968.057055
328	2964.955796
329	2961.703989
330	2958.609126
331	2955.49395
332	2952.411485
333	2949.224661
334	2946.154704
335	2943.093121
336	2939.997696
337	2936.985918
338	2934.004222
339	2930.996956
340	2927.977757
341	2924.998026
342	2921.949207
343	2918.899248
344	2915.989507
345	2913.048152
346	2910.128251
347	2907.234386
348	2904.32147
349	2901.40898
350	2898.460443
351	2895.51552
352	2892.64794
353	2889.734944
354	2886.869308
355	2883.961165
356	2881.233022
357	2878.483235
358	2875.790402
359	2872.956185
360	2870.154293
361	2867.363234
362	2864.576111
363	2861.815018
364	2858.989016
365	2856.256615
366	2853.513638
367	2850.802557
368	2848.060331
369	2845.370309
370	2842.672581
371	2839.993333
372	2837.264884
373	2834.589846
374	2831.852382
375	2829.224446
376	2826.604053
377	2823.921752
378	2821.344087
379	2818.762286
380	2816.137489
381	2813.566401
382	2811.019591
383	2808.490916
384	2806.036446
385	2803.476539
386	2800.983985
387	2798.457979
388	2795.978552
389	2793.46269
390	2790.980998
391	2788.530267
392	2786.096411
393	2783.679039
394	2781.222464
395	2778.77836
396	2776.342472
397	2773.95687
398	2771.569815
399	2769.21744
400	2766.855694
401	2764.534369
402	2762.162627
403	2759.836816
404	2757.530608
405	2755.213618
406	2752.923643
407	2750.65465
408	2748.372471
409	2746.104434
410	2743.853017
411	2741.62433
412	2739.363276
413	2737.088664
414	2734.876374
415	2732.692656
416	2730.481676
417	2728.368595
418	2726.205069
419	2724.039617
420	2721.865343
421	2719.717699
422	2717.647337
423	2715.580096
424	2713.451181
425	2711.348378
426	2709.225728
427	2707.093002
428	2705.008863
429	2702.994463
430	2700.939113
431	2698.844589
432	2696.802251
433	2694.752262
434	2692.72785
435	2690.70082
436	2688.688855
437	2686.742403
438	2684.764938
439	2682.769896
440	2680.863443
441	2678.88648
442	2676.917168
443	2674.93183
444	2672.994125
445	2671.058546
446	2669.19534
447	2667.280939
448	2665.386438
449	2663.476636
450	2661.608527
451	2659.747124
452	2657.877895
453	2656.006907
454	2654.150178
455	2652.300072
456	2650.466984
457	2648.636618
458	2646.815987
459	2645.001493
460	2643.183168
461	2641.408448
462	2639.624839
463	2637.867011
464	2636.133491
465	2634.383529
466	2632.623634
467	2630.872326
468	2629.153747
469	2627.385602
470	2625.668098
471	2623.911573
472	2622.217402
473	2620.478074
474	2618.828936
475	2617.190121
476	2615.519207
477	2613.880569
478	2612.217737
479	2610.524438
480	2608.85701
481	2607.24319
482	2605.62662
483	2603.968965
484	2602.364626
485	2600.763
486	2599.145238
487	2597.557816
488	2595.994183
489	2594.416266
490	2592.798608
491	2591.247199
492	2589.750502
493	2588.213561
494	2586.664571
495	2585.139951
496	2583.601654
497	2582.072641
498	2580.531799
499	2579.015261
500	2577.494443
501	2575.997897
502	2574.509828
503	2573.011945
504	2571.531906
505	2570.055665
506	2568.611173
507	2567.135015
508	2565.680484
509	2564.245043
510	2562.802273
511	2561.357222
512	2559.923185
513	2558.499309
514	2557.068309
515	2555.683704
516	2554.26888
517	2552.93164
518	2551.532961
519	2550.145971
520	2548.74228
521	2547.330015
522	2545.967853
523	2544.58343
524	2543.206173
525	2541.911854
526	2540.565925
527	2539.213982
528	2537.871236
529	2536.528537
530	2535.192225
531	2533.839949
532	2532.520424
533	2531.1551
534	2529.791129
535	2528.453401
536	2527.14043
537	2525.814773
538	2524.512213
539	2523.261827
540	2521.944313
541	2520.646369
542	2519.351301
543	2518.074988
544	2516.774304
545	2515.477503
546	2514.209249
547	2512.954332
548	2511.686651
549	2510.437773
550	2509.178496
551	2507.92724
552	2506.705944
553	2505.473376
554	2504.253616
555	2503.036941
556	2501.802304
557	2500.580502
558	2499.364311
559	2498.132622
560	2496.926736
561	2495.726142
562	2494.539937
563	2493.346829
564	2492.133325
565	2490.91349
566	2489.68825
567	2488.486052
568	2487.320559
569	2486.1528
570	2484.976198
571	2483.81492
572	2482.67047
573	2481.436521
574	2480.268132
575	2479.096411
576	2477.964004
577	2476.832327
578	2475.639438
579	2474.478896
580	2473.38138
581	2472.235289
582	2471.121359
583	2470.007428
584	2468.905348
585	2467.767958
586	2466.673219
587	2465.565416
588	2464.445461
589	2463.34123
590	2462.249069
591	2461.160529
592	2460.044165
593	2458.956463
594	2457.838065
595	2456.762145
596	2455.715185
597	2454.65798
598	2453.6001
599	2452.53031
600	2451.441273
601	2450.398066
602	2449.313279
603	2448.263555
604	2447.220492
605	2446.191811
606	2445.154966
607	2444.087213
608	2443.060233
609	2442.018038
610	2440.978725
611	2439.954102
612	2438.939043
613	2437.900493
614	2436.892408
615	2435.881197
616	2434.839198
617	2433.831725
618	2432.847689
619	2431.863894
620	2430.891566
621	2429.850143
622	2428.849953
623	2427.896722
624	2426.914421
625	2425.945993
626	2424.974385
627	2424.007583
628	2423.045435
629	2422.069534
630	2421.117463
631	2420.167631
632	2419.163704
633	2418.234393
634	2417.292529
635	2416.365743
636	2415.370791
637	2414.383153
638	2413.361181
639	2412.379779
640	2411.442165
641	2410.510604
642	2409.555531
643	2408.630065
644	2407.708399
645	2406.799287
646	2405.861346
647	2404.893687
648	2403.995676
649	2403.092915
650	2402.1388
651	2401.198747
652	2400.299714
653	2399.330472
654	2398.408952
655	2397.524081
656	2396.63579
657	2395.754966
658	2394.875781
659	2393.977176
660	2393.100176
661	2392.242896
662	2391.384583
663	2390.497948
664	2389.634751
665	2388.774388
666	2387.877163
667	2387.025641
668	2386.173859
669	2385.360114
670	2384.500749
671	2383.657266
672	2382.769349
673	2381.926767
674	2381.052442
675	2380.211287
676	2379.347537
677	2378.513283
678	2377.603174
679	2376.719493
680	2375.899708
681	2375.088345
682	2374.229595
683	2373.371565
684	2372.551296
685	2371.733197
686	2370.897462
687	2370.088128
688	2369.246443
689	2368.440834
690	2367.641005
691	2366.805114
692	2365.975048
