iter	Passed	Remaining
0	1669	166933554
1	4716	235839475
2	5283	176095086
3	5877	146925236
4	6408	128154260
5	7354	122560578
6	7827	111817085
7	8220	102747154
8	8677	96407479
9	9082	90816107
10	9554	86850029
11	10047	83717868
12	10408	80058677
13	10953	78230773
14	11353	75679588
15	11910	74425672
16	12243	72007307
17	12716	70632972
18	13227	69606843
19	13790	68938479
20	14184	67530263
21	14922	67815716
22	15364	66785060
23	15946	66428999
24	16575	66286857
25	17038	65517512
26	17316	64119239
27	17846	63721400
28	18339	63222894
29	18978	63243419
30	19378	62491034
31	19890	62138464
32	20273	61415876
33	20782	61105268
34	21188	60517032
35	21666	60162292
36	22120	59762353
37	22584	59411198
38	23109	59232752
39	23807	59494450
40	24240	59099125
41	24910	59286886
42	25373	58981621
43	25930	58907504
44	26582	59046616
45	27048	58774209
46	27653	58808602
47	27976	58255986
48	28300	57728502
49	28800	57573143
50	29286	57396108
51	29715	57114764
52	30179	56912929
53	30688	56800688
54	31270	56823906
55	31814	56780276
56	32267	56577995
57	32874	56647906
58	33360	56510269
59	33951	56552262
60	34426	56402950
61	34901	56257603
62	35389	56138861
63	35871	56012929
64	36491	56103990
65	37052	56102430
66	37457	55869915
67	38024	55879721
68	38457	55697652
69	39125	55855142
70	39656	55814882
71	40169	55750187
72	40716	55735546
73	41124	55533070
74	41524	55324624
75	42109	55364873
76	42608	55292826
77	43057	55158273
78	43632	55187107
79	44059	55030059
80	44427	54804123
81	44961	54786025
82	45392	54644290
83	45915	54615232
84	46385	54524558
85	47132	54757737
86	47607	54673449
87	48097	54608224
88	48564	54518614
89	49056	54457709
90	49483	54327823
91	50046	54348392
92	50640	54401353
93	51104	54315296
94	51538	54199350
95	52027	54142854
96	52581	54155355
97	53025	54054218
98	53475	53961841
99	53964	53910293
100	54503	53909320
101	54989	53855917
102	55500	53828882
103	55969	53761017
104	56471	53725998
105	57020	53736031
106	57538	53717222
107	58000	53645873
108	58456	53571576
109	59071	53642199
110	59482	53528245
111	60030	53538275
112	60480	53461651
113	61002	53450274
114	61390	53321299
115	61873	53277025
116	62356	53233541
117	62855	53204798
118	63302	53131754
119	63843	53138914
120	64288	53066689
121	64800	53050107
122	65225	52963696
123	65680	52902330
124	66119	52829286
125	66614	52801765
126	67125	52787682
127	67643	52778776
128	68110	52731098
129	68808	52860673
130	69203	52757560
131	69665	52707396
132	70127	52657625
133	70674	52671828
134	71141	52626031
135	71603	52577798
136	72077	52539091
137	72476	52446557
138	73033	52468940
139	73409	52362280
140	74129	52500137
141	74721	52546044
142	75147	52475402
143	75615	52435293
144	76069	52385569
145	76619	52402515
146	77167	52417707
147	77715	52432945
148	78215	52415388
149	78801	52455758
150	79191	52365289
151	79679	52341065
152	80138	52297752
153	80511	52199582
154	81005	52180659
155	81416	52108880
156	81931	52103457
157	82319	52018465
158	82863	52032621
159	83281	51967469
160	83838	51989786
161	84236	51913426
162	84945	52029049
163	85419	51999388
164	85947	52003439
165	86441	51986818
166	86929	51966383
167	87407	51940766
168	88008	51987961
169	88417	51921700
170	88938	51921773
171	89319	51840431
172	89871	51858869
173	90291	51801239
174	90824	51808803
175	91286	51775835
176	91798	51771947
177	92231	51723493
178	92842	51774320
179	93313	51747586
180	93914	51792399
181	94332	51736745
182	94951	51790901
183	95398	51751362
184	95907	51746227
185	96417	51740716
186	96988	51768480
187	97424	51724065
188	98011	51760010
189	98541	51765494
190	99083	51777184
191	99537	51742961
192	99987	51707117
193	100492	51699686
194	101016	51702310
195	101410	51638461
196	101988	51668693
197	102422	51626230
198	102888	51599913
199	103304	51548906
200	103849	51562327
201	104319	51539006
202	104891	51565792
203	105426	51574188
204	105992	51597661
205	106484	51584835
206	107058	51611953
207	107713	51677475
208	108141	51634416
209	108700	51653287
210	109138	51615092
211	109628	51602115
212	110075	51568524
213	110493	51522005
214	110966	51501394
215	111423	51473627
216	111914	51461613
217	112372	51434657
218	113070	51517308
219	113522	51487550
220	114044	51489949
221	114570	51493646
222	115083	51491874
223	115616	51499096
224	116056	51464441
225	116632	51490669
226	117134	51483994
227	117652	51484107
228	118169	51484336
229	118757	51515086
230	119203	51484172
231	119729	51487874
232	120224	51478178
233	120751	51482410
234	121211	51458334
235	121849	51509259
236	122224	51449110
237	122712	51437012
238	123220	51433506
239	123789	51455363
240	124229	51423170
241	124871	51475108
242	125403	51480802
243	125949	51492565
244	126324	51434599
245	126900	51458665
246	127391	51447920
247	127900	51445020
248	128349	51417499
249	129104	51512548
250	129760	51567669
251	130284	51569815
252	130802	51569637
253	131355	51583307
254	131897	51592800
255	132242	51524941
256	132849	51559595
257	133287	51528470
258	133822	51535089
259	134261	51504944
260	134854	51533349
261	135577	51611693
262	136117	51619462
263	136663	51629845
264	137077	51590100
265	137557	51575948
266	138155	51605460
267	138801	51652916
268	139282	51638680
269	139792	51635187
270	140327	51640965
271	140850	51642554
272	141253	51599895
273	141855	51630326
274	142255	51586964
275	142829	51607113
276	143255	51573489
277	143807	51585658
278	144275	51567353
279	144758	51554554
280	145554	51653275
281	146121	51670142
282	146633	51667483
283	147101	51649149
284	147676	51668784
285	148079	51627835
286	148652	51646592
287	149102	51622441
288	149575	51606680
289	150161	51629735
290	150741	51650614
291	151188	51625776
292	151786	51652516
293	152216	51621994
294	152760	51630605
295	153171	51594046
296	153752	51614862
297	154313	51628691
298	154741	51598395
299	155400	51644614
